id_etudiant,filiere,Machine_Learning,Fouille_de_donnees,Bases_de_donnees,Statistiques
IA001,IA,11,11,14,11
IA002,IA,8,6,13,19
IA003,IA,17,8,16,18
IA004,IA,19,13,16,11
IA005,IA,15,16,16,15
IA006,IA,12,18,17,13
IA007,IA,17,6,13,19
IA008,IA,9,14,17,19
IA009,IA,11,13,19,14
IA010,IA,14,14,17,14
IA011,IA,7,9,5,16
IA012,IA,11,6,13,17
IA013,IA,15,8,11,7
IA014,IA,15,16,13,19
IA015,IA,12,19,12,11
IA016,IA,9,16,5,5
IA017,IA,8,11,16,8
IA018,IA,12,16,12,17
IA019,IA,12,17,12,8
IA020,IA,7,12,19,18
IA021,IA,10,19,15,9
IA022,IA,9,7,7,11
IA023,IA,6,18,5,11
IA024,IA,12,5,12,17
IA025,IA,16,8,7,19
IA026,IA,18,6,7,15
IA027,IA,10,12,5,17
IA028,IA,6,8,15,8
IA029,IA,16,6,9,17
IA030,IA,9,18,14,11
IA031,IA,5,10,11,15
IA032,IA,16,10,14,7
IA033,IA,14,14,13,10
IA034,IA,10,8,16,16
IA035,IA,17,10,11,6
IA036,IA,16,17,13,14
IA037,IA,13,19,12,17
IA038,IA,5,6,16,18
IA039,IA,15,14,6,13
IA040,IA,15,16,5,9
IA041,IA,19,6,11,10
IA042,IA,14,14,11,16
IA043,IA,16,18,18,16
IA044,IA,16,8,12,16
IA045,IA,19,18,9,16
IA046,IA,18,19,7,8
IA047,IA,18,19,16,18
IA048,IA,19,12,12,18
IA049,IA,18,18,10,15
IA050,IA,7,11,15,14
IA051,IA,16,16,7,11
IA052,IA,11,13,5,16
IA053,IA,8,18,7,13
IA054,IA,13,12,9,11
IA055,IA,7,9,19,18
IA056,IA,9,17,18,5
IA057,IA,7,6,7,5
IA058,IA,11,19,5,13
IA059,IA,9,9,9,15
IA060,IA,13,12,14,18
