id_etudiant,filiere,Machine_Learning,Fouille_de_donnees,Bases_de_donnees,Statistiques
RS001,Reseaux,13,6,16,9
RS002,Reseaux,8,6,15,15
RS003,Reseaux,17,16,8,11
RS004,Reseaux,13,10,7,13
RS005,Reseaux,7,11,14,13
RS006,Reseaux,11,9,7,7
RS007,Reseaux,10,5,19,7
RS008,Reseaux,12,5,7,7
RS009,Reseaux,15,7,8,8
RS010,Reseaux,13,18,11,12
RS011,Reseaux,18,6,8,10
RS012,Reseaux,9,9,13,12
RS013,Reseaux,5,16,5,5
RS014,Reseaux,7,14,12,12
RS015,Reseaux,14,10,11,8
RS016,Reseaux,16,11,6,15
RS017,Reseaux,12,8,12,5
RS018,Reseaux,19,11,5,12
RS019,Reseaux,15,15,15,8
RS020,Reseaux,10,12,16,10
RS021,Reseaux,12,15,13,12
RS022,Reseaux,13,5,13,8
RS023,Reseaux,8,19,6,18
RS024,Reseaux,5,10,11,7
RS025,Reseaux,18,12,19,18
RS026,Reseaux,5,9,18,13
RS027,Reseaux,14,8,14,7
RS028,Reseaux,8,6,7,13
RS029,Reseaux,16,10,11,17
RS030,Reseaux,18,10,16,6
RS031,Reseaux,11,15,14,18
RS032,Reseaux,6,19,13,6
RS033,Reseaux,7,5,8,6
RS034,Reseaux,5,13,16,10
RS035,Reseaux,9,16,5,7
RS036,Reseaux,5,15,6,17
RS037,Reseaux,12,10,5,13
RS038,Reseaux,5,17,18,8
RS039,Reseaux,15,7,16,5
RS040,Reseaux,5,8,9,8
