id_etudiant,taux_presence
IA001,92
IA002,73
IA003,80
IA004,79
IA005,67
IA006,66
IA007,62
IA008,76
IA009,92
IA010,71
IA011,81
IA012,81
IA013,89
IA014,97
IA015,97
IA016,67
IA017,86
IA018,86
IA019,93
IA020,80
IA021,89
IA022,92
IA023,87
IA024,92
IA025,64
IA026,78
IA027,63
IA028,94
IA029,76
IA030,87
IA031,89
IA032,88
IA033,65
IA034,94
IA035,96
IA036,83
IA037,88
IA038,90
IA039,94
IA040,92
IA041,80
IA042,91
IA043,82
IA044,92
IA045,62
IA046,77
IA047,84
IA048,90
IA049,62
IA050,99
IA051,83
IA052,91
IA053,81
IA054,82
IA055,61
IA056,86
IA057,61
IA058,85
IA059,76
IA060,99
RS001,92
RS002,68
RS003,98
RS004,88
RS005,85
RS006,94
RS007,84
RS008,83
RS009,72
RS010,66
RS011,95
RS012,79
RS013,60
RS014,67
RS015,75
RS016,73
RS017,71
RS018,82
RS019,74
RS020,87
RS021,93
RS022,61
RS023,91
RS024,82
RS025,81
RS026,84
RS027,81
RS028,81
RS029,65
RS030,74
RS031,96
RS032,92
RS033,67
RS034,64
RS035,98
RS036,63
RS037,65
RS038,91
RS039,89
RS040,94
